SN,जिल्ला,पालिका,विजयी,विजयी-दल,मत,दोस्रो,दोस्रो-दल,मत2,मतान्तर,Conc1,Conc2
32,सर्लाही,कविलासी नगरपालिका,कौशल किशोर यादव,राष्ट्रिय जनता पार्टी,"3,395",ब्रम्ह देव राय,संघीय फोरम,"3,355",40,राष्ट्रिय जनता पार्टी नेपाल : कौशल किशोर यादव (3395),"संघीय समाजवादी फोरम, नेपाल : ब्रम्ह देव राय (3355)"
33,मनाङ्ग,चामे गाउँपालिका,लोकेन्द्र वहादुर घले,नेकपा एमाले,214,अनिता लामा,नेपाली काँग्रेस,173,41,नेकपा एमाले : लोकेन्द्र वहादुर घले (214),नेपाली काँग्रेस : अनिता लामा (173)
34,सोलुखुम्बु,नेचासल्यान गाउँपालिका,डुफ कुमार बास्तोला,नेकपा एमाले,"1,698",धन जन राई,नेपाली काँग्रेस,"1,656",42,नेकपा एमाले : डुफ कुमार बास्तोला (1698),नेपाली काँग्रेस : धन जन राई (1656)
35,सप्तरी,शम्भुनाथ नगरपालिका,योगेन्द्र प्रसाद चौधरी,नेपाली काँग्रेस,"2,778",जितेन्द्र प्रसाद गुप्ता कलवार,नेकपा एमाले,"2,734",44,नेपाली काँग्रेस : योगेन्द्र प्रसाद चौधरी (2778),नेकपा एमाले : जितेन्द्र प्रसाद गुप्ता कलवार (2734)
36,चितवन,माडी नगरपालिका,ठाकुर प्रसाद ढकाल,माओवादी केन्द्र,"3,873",खेम प्रसाद महतो,नेपाली काँग्रेस,"3,829",44,माओवादी केन्द्र : ठाकुर प्रसाद ढकाल (3873),नेपाली काँग्रेस : खेम प्रसाद महतो (3829)
37,म्याग्दी,बेनी नगरपालिका,हरि कुमार श्रेष्ठ,नेपाली काँग्रेस,"5,679",प्रमोद श्रेष्‍ठ,नेकपा एमाले,"5,634",45,नेपाली काँग्रेस : हरि कुमार श्रेष्ठ (5679),नेकपा एमाले : प्रमोद श्रेष्‍ठ (5634)
38,डोटी,पूर्वीचौकी गाउँपालिका,दिर्घ राज वोगटी,नेकपा एमाले,"3,615",राम प्रसाद उपाध्याय,नेपाली काँग्रेस,"3,568",47,नेकपा एमाले : दिर्घ राज वोगटी (3615),नेपाली काँग्रेस : राम प्रसाद उपाध्याय (3568)
39,दैलेख,आठबीस नगरपालिका,खड्ग राज उपाध्याय,नेकपा एमाले,"3,927",प्रेम प्रकाश शाही,नेपाली काँग्रेस,"3,880",47,नेकपा एमाले : खड्ग राज उपाध्याय (3927),नेपाली काँग्रेस : प्रेम प्रकाश शाही (3880)
40,हुम्ला,नाम्खा गाउँपालिका,विष्णु बहादुर लामा,माओवादी केन्द्र,833,छिरीङ पाल्जोर लामा,नेपाली काँग्रेस,779,54,माओवादी केन्द्र : विष्णु बहादुर लामा (833),नेपाली काँग्रेस : छिरीङ पाल्जोर लामा (779)
41,संखुवासभा,सभापोखरी गाउँपालिका,रत्‍न वहादुर सुब्बा,नेकपा एमाले,"2,060",भिम बहादुर लिम्बु,नेपाली काँग्रेस,"2,003",57,नेकपा एमाले : रत्‍न वहादुर सुब्बा (2060),नेपाली काँग्रेस : भिम बहादुर लिम्बु (2003)
42,बझाङ्ग,काँडा गाउँपालिका,राजेन्द्र बहादुर धामी,नेपाली काँग्रेस,394,मानविर बोहरा,नेकपा एमाले,336,58,नेपाली काँग्रेस : राजेन्द्र बहादुर धामी (394),नेकपा एमाले : मानविर बोहरा (336)
43,मोरङ्ग,ग्रामथान गाउँपालिका,शिव नारायण माझी थारु,नेकपा एमाले,"4,720",जय प्रकास गच्छदार थारु,लोकतान्त्रिक फोरम,"4,661",59,नेकपा एमाले : शिव नारायण माझी थारु (4720),"मधेशी जनअधिकार फोरम, नेपाल (लोकतान्त्रिक) : जय प्रकास गच्छदार थारु (4661)"
44,मुस्तांग,थासाङ गाउँपालिका,वुद्धि प्रसाद शेरचन,नेपाली काँग्रेस,728,नविन भट्टचन,नेकपा एमाले,669,59,नेपाली काँग्रेस : वुद्धि प्रसाद शेरचन (728),नेकपा एमाले : नविन भट्टचन (669)
